Date,0
2024-01-16,14524.280000000013
2024-01-17,14525.983751984784
2024-01-18,14527.687703825992
2024-01-19,14529.391855547077
2024-01-22,14531.09620717149
2024-01-23,14532.800758722677
2024-01-24,14534.505510224091
2024-01-25,14536.210461699187
2024-01-26,14537.915613171424
2024-01-29,14539.620964664262
2024-01-30,14541.326516201163
2024-01-31,14543.032267805593
2024-02-01,14544.738219501021
2024-02-02,14546.44437131092
2024-02-05,14548.150723258761
2024-02-06,14549.857275368022
2024-02-07,14551.564027662183
2024-02-08,14553.270980164729
2024-02-09,14554.978132899141
2024-02-12,14556.68548588891
2024-02-13,14558.393039157523
2024-02-14,14560.100792728477
2024-02-15,14561.808746625267
2024-02-16,14563.516900871393
2024-02-20,14565.225255490355
2024-02-21,14566.93381050566
2024-02-22,14568.642565940812
2024-02-23,14570.351521819324
2024-02-26,14572.060678164707
2024-02-27,14573.770035000478
2024-02-28,14575.479592350153
2024-02-29,14577.189350237255
2024-03-01,14578.899308685306
2024-03-04,14580.609467717833
2024-03-05,14582.319827358366
2024-03-06,14584.030387630437
2024-03-07,14585.741148557581
2024-03-08,14587.452110163335
2024-03-11,14589.163272471238
2024-03-12,14590.874635504837
2024-03-13,14592.586199287674
2024-03-14,14594.2979638433
2024-03-15,14596.009929195267
2024-03-18,14597.722095367126
2024-03-19,14599.434462382436
2024-03-20,14601.147030264756
2024-03-21,14602.85979903765
2024-03-22,14604.57276872468
2024-03-25,14606.285939349416
2024-03-26,14607.99931093543
2024-03-27,14609.712883506292
2024-03-28,14611.426657085582
2024-04-01,18759.770631696872
2024-04-02,18761.971222462653
2024-04-03,18764.1720713659
2024-04-04,18766.3731784369
2024-04-05,18768.574543705934
2024-04-08,18770.77616720329
2024-04-09,18772.97804895926
2024-04-10,18775.180189004135
2024-04-11,18777.382587368218
2024-04-12,18779.585244081805
2024-04-15,18781.78815917521
2024-04-16,18783.991332678732
2024-04-17,18786.19476462269
2024-04-18,18788.398455037397
2024-04-19,18790.602403953173
2024-04-22,18792.806611400345
2024-04-23,18795.011077409235
2024-04-24,18797.215802010174
2024-04-25,18799.4207852335
2024-04-26,18801.62602710954
2024-04-29,18803.831527668648
2024-04-30,18806.037286941162
2024-05-01,18808.24330495743
2024-05-02,18810.449581747802
2024-05-03,18812.656117342638
2024-05-06,18814.862911772292
2024-05-07,18817.06996506713
2024-05-08,18819.277277257515
2024-05-09,18821.484848373817
2024-05-10,18823.69267844641
2024-05-13,18825.900767505667
2024-05-14,18828.109115581974
2024-05-15,18830.317722705713
2024-05-16,18832.52658890727
2024-05-17,18834.735714217033
2024-05-20,18836.9450986654
2024-05-21,18839.15474228277
2024-05-22,18841.364645099544
2024-05-23,18843.574807146124
2024-05-24,18845.785228452918
2024-05-28,18847.995909050343
2024-05-29,18850.20684896881
2024-05-30,18852.418048238742
2024-05-31,18854.62950689056
2024-06-03,18856.841224954693
2024-06-04,18859.053202461568
2024-06-05,18861.265439441617
2024-06-06,18863.47793592528
2024-06-07,18865.690691942997
2024-06-10,18867.903707525213
2024-06-11,18870.116982702377
2024-06-12,18872.33051750494
2024-06-13,18874.544311963353
2024-06-14,18876.75836610808
2024-06-17,18878.972679969578
2024-06-18,18881.18725357832
2024-06-20,18883.40208696477
2024-06-21,18885.6171801594
2024-06-24,18887.832533192686
2024-06-25,18890.048146095112
2024-06-26,18892.26401889716
2024-06-27,18894.48015162932
2024-06-28,18896.696544322076
2024-07-01,27055.373197005927
2024-07-02,27058.546892761115
2024-07-03,27061.7209608026
2024-07-05,27064.895401174053
2024-07-08,27068.070213919153
2024-07-09,27071.245399081577
2024-07-10,27074.420956705013
2024-07-11,27077.59688683315
2024-07-12,27080.773189509688
2024-07-15,27083.949864778326
2024-07-16,27087.126912682772
2024-07-17,27090.304333266733
2024-07-18,27093.48212657393
2024-07-19,27096.660292648085
2024-07-22,27099.83883153292
2024-07-23,27103.017743272176
2024-07-24,27106.197027909584
2024-07-25,27109.376685488885
2024-07-26,27112.55671605383
2024-07-29,27115.73711964817
2024-07-30,27118.917896315663
2024-07-31,27122.099046100073
2024-08-01,27125.280569045168
2024-08-02,27128.46246519472
2024-08-05,27131.644734592504
2024-08-06,27134.82737728231
2024-08-07,27138.01039330792
2024-08-08,27141.193782713133
2024-08-09,27144.377545541745
2024-08-12,27147.56168183756
2024-08-13,27150.74619164439
2024-08-14,27153.931075006047
2024-08-15,27157.11633196635
2024-08-16,27160.301962569123
2024-08-19,27163.487966858196
2024-08-20,27166.674344877407
2024-08-21,27169.861096670593
2024-08-22,27173.0482222816
2024-08-23,27176.235721754274
2024-08-26,27179.423595132477
2024-08-27,27182.611842460065
2024-08-28,27185.800463780906
2024-08-29,27188.98945913887
2024-08-30,27192.17882857783
2024-09-03,27195.368572141673
2024-09-04,27198.55868987428
2024-09-05,27201.74918181955
2024-09-06,27204.94004802137
2024-09-09,27208.131288523648
2024-09-10,27211.32290337029
2024-09-11,27214.514892605202
2024-09-12,27217.707256272308
2024-09-13,27220.899994415526
2024-09-16,27224.09310707879
2024-09-17,27227.286594306024
2024-09-18,27230.480456141173
2024-09-19,27233.674692628174
2024-09-20,27236.869303810978
2024-09-23,27240.06428973354
2024-09-24,27243.259650439813
2024-09-25,27246.455385973768
2024-09-26,27249.651496379367
2024-09-27,27252.847981700586
2024-09-30,27256.044841981406
2024-10-01,24124.662077265806
2024-10-02,24127.49198972247
2024-10-03,24130.322234138377
2024-10-04,24133.152810552463
2024-10-07,24135.983719003674
2024-10-08,24138.814959530962
2024-10-09,24141.64653217328
